METHOD,PATH,API_GROUP,PUBLIC_OR_PROTECTED,HANDLER,SERVICE,REQUEST_MODEL,RESPONSE_MODEL,DATABASE_DEPENDENCY,CALLING_FRONTEND,AUTH_REQUIRED,TEST_PRESENT,RUNTIME_VERIFIED,STATUS
POST,/api/v1/research/artifacts,Research,PROTECTED,research_submit_artifact,PublicationService,dict,api_response(artifact),ContentArtifact,None,YES,YES,YES,COMPLETE
POST,/api/v1/research/artifacts/{artifact_id}/submit,Research,PROTECTED,research_submit_for_review,PublicationService,None,api_response(record),PublicationRecord,None,YES,YES,YES,COMPLETE
GET,/api/v1/research/projects,Research,PROTECTED,research_list_projects,ResearchWorkspaceService,None,api_response(projects),ResearchProject,None,YES,YES,YES,COMPLETE
POST,/api/v1/research/projects,Research,PROTECTED,research_create_project,ResearchWorkspaceService,dict,api_response(project),ResearchProject,None,YES,YES,YES,COMPLETE
GET,/api/v1/research/projects/{project_id},Research,PROTECTED,research_get_project,ResearchWorkspaceService,None,api_response(project),ResearchProject,None,YES,YES,YES,COMPLETE
PATCH,/api/v1/research/projects/{project_id},Research,PROTECTED,research_update_project,ResearchWorkspaceService,dict,api_response(project),ResearchProject,None,YES,YES,YES,COMPLETE
DELETE,/api/v1/research/projects/{project_id},Research,PROTECTED,research_delete_project,ResearchWorkspaceService,None,api_response(ok),ResearchProject,None,YES,YES,YES,COMPLETE
GET,/api/v1/research/notes,Research,PROTECTED,research_list_notes,ResearchWorkspaceService,None,api_response(notes),ResearchNote,None,YES,YES,YES,COMPLETE
POST,/api/v1/research/notes,Research,PROTECTED,research_create_note,ResearchWorkspaceService,dict,api_response(note),ResearchNote,None,YES,YES,YES,COMPLETE
GET,/api/v1/research/notes/{note_id},Research,PROTECTED,research_get_note,ResearchWorkspaceService,None,api_response(note),ResearchNote,None,YES,YES,YES,COMPLETE
PATCH,/api/v1/research/notes/{note_id},Research,PROTECTED,research_update_note,ResearchWorkspaceService,dict,api_response(note),ResearchNote,None,YES,YES,YES,COMPLETE
DELETE,/api/v1/research/notes/{note_id},Research,PROTECTED,research_delete_note,ResearchWorkspaceService,None,api_response(ok),ResearchNote,None,YES,YES,YES,COMPLETE
POST,/api/v1/admin/publications/{artifact_id}/approve,Admin,PROTECTED,admin_approve_publication,PublicationService,dict,api_response(publication),PublicationRecord,None,YES,YES,YES,COMPLETE
POST,/api/v1/admin/publications/{artifact_id}/reject,Admin,PROTECTED,admin_reject_publication,PublicationService,dict,api_response(publication),PublicationRecord,None,YES,YES,YES,COMPLETE
POST,/api/v1/admin/publications/{artifact_id}/withdraw,Admin,PROTECTED,admin_withdraw_publication,PublicationService,dict,api_response(publication),PublicationRecord,None,YES,YES,YES,COMPLETE
GET,/api/v1/admin/search,Admin,PROTECTED,admin_search,SearchService,None,api_response(hits),Entity/ContentArtifact,None,YES,YES,YES,COMPLETE
POST,/api/v1/admin/reconciliation,Admin,PROTECTED,admin_reconciliation,ReconciliationService,None,api_response(result),ReconciliationRun,apps/frontend/src/services/audit.ts,YES,YES,YES,COMPLETE
GET,/api/v1/admin/audit-log,Admin,PROTECTED,admin_audit_log,AuditService,None,api_response(logs),AuditLog,apps/frontend/src/services/audit.ts,YES,YES,YES,COMPLETE
GET,/api/v1/admin/lineage/{version_id},Admin,PROTECTED,admin_lineage,VersionLineageService,None,api_response(lineage),Version,apps/frontend/src/services/audit.ts,YES,YES,YES,COMPLETE
