object_key,privacy_class,previous_privacy_class,rationale,publication_route
非遗佐证/05 技术成果/3、主持、参与的市、厅级中医药课题立项或结题证明复印件（十余项）/2023结项证书 甘肃特色地域文化传承创新研究一一以皇甫谧文化传承创新路径研究为例.pdf,P2,P2,课题立项/结题证明：含文号与负责人身份信息,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/06 媒体报道/1、协助中央广播电视台华语环球节目纪录片部拍摄《杏林繁华》工作方案.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/2、央视《魅力中国城》栏目参与证明材料.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/崆峒区.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/灵台县.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/甘肃卫视.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/甘肃卫视等栏目宣传报道截图或链接.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/3、甘肃卫视等栏目宣传报道截图或链接/静宁县.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/4、2025年4月25日中央电视台《中国中医药大会》（第二季）《陇脉医承》栏目播出截图或视频链接证明/中央电视台拍摄函.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/06 媒体报道/4、2025年4月25日中央电视台《中国中医药大会》（第二季）《陇脉医承》栏目播出截图或视频链接证明/央视图片证明材料.pdf,P1,P2,媒体报道：已公开发布的报道与播出证明,直接公开
非遗佐证/07 带徒传技与工作室成果/1、“刘君奇名中医工作室”成立及运行相关证明材料（崆峒区中医医院）.pdf,P2,P2,名中医工作室成立及运行证明材料：含名单与签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/07 带徒传技与工作室成果/2、“刘君奇中医工作室”相关证明材料（灵台县皇甫谧中医院）.pdf,P2,P2,中医工作室相关证明材料：含名单与签字,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/07 带徒传技与工作室成果/3、传承工作室及国医馆名单及基本情况.pdf,P2,P2,传承工作室及国医馆名单及基本情况：名单类材料，须逐条核对第三方个人信息,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/07 带徒传技与工作室成果/4、带教师承学生名单带教基医生名单.pdf,P2,P2,带教名单：含第三方（学生/基层医生）姓名、单位、手机号,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/07 带徒传技与工作室成果/5、皇甫谧学院师承教育拜师大会相关材料/师承教育教学大纲.doc,P1,P2,师承教育教学制度、大纲与讲座安排：公开学术/教学信息,直接公开
非遗佐证/07 带徒传技与工作室成果/5、皇甫谧学院师承教育拜师大会相关材料/师承教育拜师大会新闻稿.docx,P2,P2,师承教育拜师大会新闻稿：正文内嵌联系人手机号,脱敏 derivative 后公开（政策 §4.1）
非遗佐证/07 带徒传技与工作室成果/5、皇甫谧学院师承教育拜师大会相关材料/师承教育讲座(3).docx,P1,P2,师承教育教学制度、大纲与讲座安排：公开学术/教学信息,直接公开
非遗佐证/07 带徒传技与工作室成果/5、皇甫谧学院师承教育拜师大会相关材料/皇甫谧针灸学院中医师承制教学实施办法(3).docx,P1,P2,师承教育教学制度、大纲与讲座安排：公开学术/教学信息,直接公开
非遗佐证/08申报单位资质/1、甘肃医学院事业单位法人证书复印件.pdf,P3,P2,申报单位资质：事业单位法人证书复印件、不动产证明 —— 政策 §4 明列 P3,归档，不进入公共投影
非遗佐证/08申报单位资质/2、不动产证明.pdf,P3,P2,申报单位资质：事业单位法人证书复印件、不动产证明 —— 政策 §4 明列 P3,归档，不进入公共投影
非遗佐证/09职业技能等级认定资质/1、甘肃医学院 职业技能等级认定机构备案信息采集表、认定函、承诺书.pdf,P3,P2,职业技能等级认定资质：考评员名单、机构备案信息采集表/认定函/承诺书 —— 政策 §4 明列 P3,归档，不进入公共投影
非遗佐证/09职业技能等级认定资质/2、职业技能等级认定考评员名单.pdf,P3,P2,职业技能等级认定资质：考评员名单、机构备案信息采集表/认定函/承诺书 —— 政策 §4 明列 P3,归档，不进入公共投影
非遗佐证/10场地及设施设备/场地及设施设备.pdf,P1,P2,场地及设施设备：公开的场地条件信息,直接公开
