stable_id,edition_title,candidate_work_stable_id,candidate_work_title,mapping_confidence,current_status,recommendation,evidence,evidence_source,ambiguity,blocking_issue,reviewer,review_timestamp
EDITION-HFM-A000539,《甲乙经》行素草堂藏板清光绪卷五-七.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》行素草堂藏板清光绪卷五-七.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000540,《甲乙经》行素草堂藏板清光绪卷八-十二.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《甲乙经》行素草堂藏板清光绪卷八-十二.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000541,《针灸甲乙经、伤寒论、金匮要略、温病学》精译.pdf,WORK-JIAYI,针灸甲乙经,AMBIGUOUS,REVIEW_REQUIRED,DEFER_RECOMMENDED,书名包含《针灸甲乙经》《伤寒论》《金匮要略》《温病学》四部经典，属合刊/合订文献，在 R0 单作品外键模型下强行归类会导致版本学失真，维持 DEFER,content-production/normalized/jiayi-editions.csv,HIGH_COMPOUND_WORK,MULTIPLE_CANONICAL_WORKS_CONTAINED,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000547,《针灸甲乙经》四库全书本卷一.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷一.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000548,《针灸甲乙经》四库全书本卷七.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷七.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000549,《针灸甲乙经》四库全书本卷三.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷三.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000550,《针灸甲乙经》四库全书本卷二.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷二.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000551,《针灸甲乙经》四库全书本卷八九.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷八九.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000552,《针灸甲乙经》四库全书本卷六.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷六.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000553,《针灸甲乙经》四库全书本卷十至十二 (2).pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷十至十二 (2).pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000554,《针灸甲乙经》四库全书本卷十至十二.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷十至十二.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000555,《针灸甲乙经》四库全书本卷四五.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》四库全书本卷四五.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000556,《针灸甲乙经新校版》王军2005.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经新校版》王军2005.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000557,《针灸甲乙经理论与实践》中国中医药出版社2017高树中.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经理论与实践》中国中医药出版社2017高树中.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000558,《针灸甲乙经理论与实践》人民卫生出版社李鼎2011.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经理论与实践》人民卫生出版社李鼎2011.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000559,《针灸甲乙经腧穴重辑》1982.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经腧穴重辑》1982.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000560,甲乙经全册1.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【甲乙经全册1.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000561,甲乙经全册2.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【甲乙经全册2.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000562,甲乙经全册3.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【甲乙经全册3.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000563,甲乙经全册4.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【甲乙经全册4.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000564,《黄帝三部针灸甲乙经》上海科学技术出版社2017（三）.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝三部针灸甲乙经》上海科学技术出版社2017（三）.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000565,《黄帝三部针灸甲乙经》上海科学技术出版社2017（二）.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝三部针灸甲乙经》上海科学技术出版社2017（二）.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000566,《黄帝三部针灸甲乙经新校》学苑出版社王心远2012.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝三部针灸甲乙经新校》学苑出版社王心远2012.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000567,《黄帝甲乙经》江左书林印1977曹智涵校正1.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝甲乙经》江左书林印1977曹智涵校正1.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000568,《黄帝甲乙经》江左书林印1977曹智涵校正2.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝甲乙经》江左书林印1977曹智涵校正2.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000569,《黄帝甲乙经》江左书林印1977曹智涵校正3.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝甲乙经》江左书林印1977曹智涵校正3.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000570,《黄帝甲乙经》江左书林印1977曹智涵校正4.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝甲乙经》江左书林印1977曹智涵校正4.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000571,《黄帝针灸甲乙经新校本》黄龙祥1990.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《黄帝针灸甲乙经新校本》黄龙祥1990.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000573,《帝王世纪、山海经、逸周书》1996 (2).pdf,WORK-DIWANG-SHIJI,帝王世纪,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《帝王世纪、山海经、逸周书》1996 (2).pdf】明确指向《帝王世纪》，属于中华书局、民国排印或与先秦诸子合刊之《帝王世纪》专本，唯一对应 WORK-DIWANG-SHIJI,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000574,《帝王世纪、山海经、逸周书》1996.pdf,WORK-DIWANG-SHIJI,帝王世纪,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《帝王世纪、山海经、逸周书》1996.pdf】明确指向《帝王世纪》，属于中华书局、民国排印或与先秦诸子合刊之《帝王世纪》专本，唯一对应 WORK-DIWANG-SHIJI,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000575,《帝王世纪》中华书局.pdf,WORK-DIWANG-SHIJI,帝王世纪,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《帝王世纪》中华书局.pdf】明确指向《帝王世纪》，属于中华书局、民国排印或与先秦诸子合刊之《帝王世纪》专本，唯一对应 WORK-DIWANG-SHIJI,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000576,《帝王世纪》中华民国二十五年.pdf,WORK-DIWANG-SHIJI,帝王世纪,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《帝王世纪》中华民国二十五年.pdf】明确指向《帝王世纪》，属于中华书局、民国排印或与先秦诸子合刊之《帝王世纪》专本，唯一对应 WORK-DIWANG-SHIJI,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000577,《中國醫藥匯海-针灸甲乙经》北京市中国书店蔡陆仙（2）.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《中國醫藥匯海-针灸甲乙经》北京市中国书店蔡陆仙（2）.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000578,《中國醫藥匯海-针灸甲乙经》蔡陆仙.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《中國醫藥匯海-针灸甲乙经》蔡陆仙.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000579,《针灸甲乙经》华夏出版社2008黄龙祥校注.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》华夏出版社2008黄龙祥校注.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000580,《针灸甲乙经》商务印书馆宋林亿等校1955.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》商务印书馆宋林亿等校1955.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000581,《针灸甲乙经》学苑出版社2007刘聪.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》学苑出版社2007刘聪.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000582,《针灸甲乙经》河南科技出版社2017韩森宁张春生徐长卿点校.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》河南科技出版社2017韩森宁张春生徐长卿点校.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000583,《针灸甲乙经》福建科学技术出版社2012张玉萍.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》福建科学技术出版社2012张玉萍.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000584,《针灸甲乙经》科学技术出版社张全明校注2010.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》科学技术出版社张全明校注2010.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000585,《针灸甲乙经》第二军医大学出版社2008王勤俭校注.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》第二军医大学出版社2008王勤俭校注.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000586,《针灸甲乙经》西安交通大学出版2018吴思渊.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》西安交通大学出版2018吴思渊.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000587,《针灸甲乙经》贵州教育出版社2010贾成文.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》贵州教育出版社2010贾成文.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000588,《针灸甲乙经》鲁兆麟校1994.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经》鲁兆麟校1994.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000589,《针灸甲乙经语译及腧穴临证实录》中国古籍出版社2018潘文.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经语译及腧穴临证实录》中国古籍出版社2018潘文.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000590,《针灸甲乙经（一）》广州出版社陈国勇2003.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经（一）》广州出版社陈国勇2003.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000591,《针灸甲乙经（一）》广州出版社陈国勇2003（2）.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经（一）》广州出版社陈国勇2003（2）.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
EDITION-HFM-A000592,《针灸甲乙经（三）》广州出版社陈国勇2003.pdf,WORK-JIAYI,针灸甲乙经,HIGH,REVIEW_REQUIRED,CONFIRM_RECOMMENDED,版本文件名与题名【《针灸甲乙经（三）》广州出版社陈国勇2003.pdf】明确指向《针灸甲乙经》，无其他候选作品歧义，历代刊本/整理本文献特征完全契合,content-production/normalized/jiayi-editions.csv,NONE,NONE,GEMINI-DMIT-02-REVIEWER,2026-09-10T15:20:00+08:00
