ASSET_ID,SOURCE_PATH,SHA256,PAGE_COUNT_IF_AVAILABLE,ENCRYPTION_TYPE_IF_DETECTABLE,TEXT_EXTRACTION_AVAILABLE,OCR_RENDER_AVAILABLE,MANUAL_ACTION_REQUIRED
HFM-A000026,针灸甲乙经/论文/针灸甲乙经/116-探索《针灸甲乙经》中针灸治疗癫证的特定穴运用规律.pdf,dd6b923f8fde9c17a67a9dc64b2556d72c33cc0239678556178fc3f4c03f0ad0,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000027,针灸甲乙经/论文/针灸甲乙经/12-基于《针灸甲乙经》探讨上巨虚的临床作用.pdf,aca239937af9796a6f59bdeb7f6e6b48491b33734214799f8c9744eb0d865dab,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000028,针灸甲乙经/论文/针灸甲乙经/120-基于数据挖掘《针灸甲乙经》针刺处方及其腧穴配伍规律的研究.pdf,ccae57160a008fdc2bfb60e7c6f33ecf5c87ad5f4025e138a2ef23c0f1a49a01,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000029,针灸甲乙经/论文/针灸甲乙经/121-探索《针灸甲乙经》中针灸治疗小儿痫证的经络运用规律.pdf,25e752dcfe25ccca32fe65910e3ffbfd54a76b6c11c49f1da63f46b82b2a2212,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000030,针灸甲乙经/论文/针灸甲乙经/125-吴春平教授运用《针灸甲乙经》中针刺处方治疗心系疾病经验.pdf,8d73b39ee9dd9cc4a57a1b467512bd4339b9f3d6c89fee41d152d9428b0a431d,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000031,针灸甲乙经/论文/针灸甲乙经/129-探索《针灸甲乙经》中针灸治疗小儿痫证的特定穴运用规律.pdf,d099394b690429a96100f23238ad7b02cd7480cfadb132cc230979da57f1b359,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000032,针灸甲乙经/论文/针灸甲乙经/13-《针灸甲乙经》治疗失音的理论分析.pdf,ed80a8c120fbf36990ff4ddeb681bc9300fe172a3f3bc4c5de3713a74336f939,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000033,针灸甲乙经/论文/针灸甲乙经/130-《黄帝内经》和《针灸甲乙经》中安全针刺操作要素的初步研究.pdf,f56b12a210d294832bcbc5234b79e3005ab6cbb83acd82829cddeb6547b7bed2,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000034,针灸甲乙经/论文/针灸甲乙经/135-皇甫宏著承先启后——晋朝高秀皇甫谧及其《针灸甲乙经》.pdf,907c8a2f2033abde0073af36bb00bb3137800a2dfa6aec502c6a2ea499eae4e3,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000035,针灸甲乙经/论文/针灸甲乙经/14-《针灸甲乙经》语词杂释.pdf,7220a7a1e062c644b1a87f3ec70061c8e7e7649324c4dd7d109f9f7bfdbe0a1e,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000036,针灸甲乙经/论文/针灸甲乙经/148-白浊的出处是《针灸甲乙经》.pdf,422ce4c4863881b85f88677d19dd982d7869bff40226635ca5480b6ab730ca0d,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000038,针灸甲乙经/论文/针灸甲乙经/150《针灸甲乙经》_脉动(病)发_理论在眼科疾病治疗中的应用探析.pdf,122717b9e6985452613dbce698be7b595cf66bbc6105fb15d901c47297ad188e,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000039,针灸甲乙经/论文/针灸甲乙经/155-《针灸甲乙经》对《内经》针刺_治神_思想的阐发及后世医家传承浅析.pdf,f41596a55fa39ad1c549074a6bd4664a010f5f5520cb99489599cfb6277f2724,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000040,针灸甲乙经/论文/针灸甲乙经/156-《针灸甲乙经》配穴特点分析.pdf,ebe2353a0c98601ec61894371704d449cd1e514c5c7469c9cc731a65d57e37b4,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000041,针灸甲乙经/论文/针灸甲乙经/159-《针灸甲乙经》数字化整理研究初探.pdf,db2bb3af07f67d7e5bbea35742e3b58a02eb1de50e9d759577609b6f9b15697d,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000043,针灸甲乙经/论文/针灸甲乙经/164-《针灸甲乙经》中针灸处方的概念.pdf,db8385c7fa82d088de648153feeb6d45473d89583256139e6b3e2a90897dedd7,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000045,针灸甲乙经/论文/针灸甲乙经/167-世界最早的针灸专著《针灸甲乙经》.pdf,576e9748b1f5284622ec4179bd940ebd20c7018e0f4f5fd7f8e419f3c15bcbfe,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000046,针灸甲乙经/论文/针灸甲乙经/17-论《针灸甲乙经》对脉诊的贡献.pdf,a1801c8daf4d6e245076b1437de641757638212235258610c648eabd9f7751e4,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000047,针灸甲乙经/论文/针灸甲乙经/173-《针灸甲乙经》数字化整理研究初探.pdf,5531144b538999fcd06ae29205345df9f7b0dc629547e25063a31a8a9e6a862c,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000048,针灸甲乙经/论文/针灸甲乙经/176-《针灸甲乙经》中针灸处方的概念.pdf,abef1795c2a0da6cbd616aa9e6b560788420f635ece4d9e64be2ec27d71cde22,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000049,针灸甲乙经/论文/针灸甲乙经/178-世界最早的针灸专著《针灸甲乙经》.pdf,387fa030d815bc07c0496785c46aa8dfaea286d4d76f2d7eab13b378d2e84c74,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000051,针灸甲乙经/论文/针灸甲乙经/182-探索《针灸甲乙经》中针灸治疗癫证的经络运用规律.pdf,1123812d8a74b5ef4c5466be371c0afae757d47e0e809dad4fb83e2530e68a9c,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000052,针灸甲乙经/论文/针灸甲乙经/184-浅谈《针灸甲乙经》对于失眠的治疗特点.pdf,865f3574ab9a47fde7c12f81a71fb5734178f1fa2771cb100630f864b47710b9,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000054,针灸甲乙经/论文/针灸甲乙经/187-《针灸甲乙经校释》对皇甫谧自序中_其他_校改的商榷.pdf,41af78d957099e16fef97245bb90850da603ddc682b1d86c6c9d3a64de2ee9bd,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000056,针灸甲乙经/论文/针灸甲乙经/190-《甲乙经》的组织结构与针灸学术意义.pdf,75c667b8a81f5fc0428d17dc246534c973823bdbfd39302896c97017d9b5b67c,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000057,针灸甲乙经/论文/针灸甲乙经/191-《针灸甲乙经》_上星穴方_学术思想探析.pdf,e0dd6eaed908aa170041be976e0d7ec532d4b7eaa732307b44e61ec380846487,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000058,针灸甲乙经/论文/针灸甲乙经/192-简析_针灸甲乙经_中的禁(慎)针禁(慎)灸腧穴.pdf,32ce611a4ca715632b278b1d389389d30782f4f69fc72d7c27b4478bc4fe64ad,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000059,针灸甲乙经/论文/针灸甲乙经/193-《针灸甲乙经》妇人杂病辨证论治规律的探析.pdf,a63004127d4084b437be6fa1816b13521ca5a637fe1d352afb291c58b6b27ba2,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000060,针灸甲乙经/论文/针灸甲乙经/194-《针灸甲乙经》中_上星穴方_浅析.pdf,d898184b4ee8503f2ef8f7010aa1b4ae619f57495b181e1f5497401aaee60a8c,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000061,针灸甲乙经/论文/针灸甲乙经/195-《针灸甲乙经》中不孕治疗经验探析.pdf,d5d38efbfc71176520813e771aab9432745d17df8c0616dd3013a91564edd3dd,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000062,针灸甲乙经/论文/针灸甲乙经/196-《针灸甲乙经》中妇科疾病的取穴规律探析.pdf,61cca789b100b23bbc12e02a389d5130864f07ed4fe813f88a8bcc9572a5e195,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000063,针灸甲乙经/论文/针灸甲乙经/197-《针灸甲乙经》痹证治疗浅析.pdf,178c5d9dee67c9e7f1807d71960555f9f22f2eea107e862e4875189d4316a48f,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000064,针灸甲乙经/论文/针灸甲乙经/2-《针灸甲乙经》的章法.pdf,cffc00bc9d5f6241682fb31fae0a911894b035bb31328f8d3dac88aae8d01554,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000065,针灸甲乙经/论文/针灸甲乙经/20-论《针灸甲乙经》特定穴的学术价值.pdf,db063b71dd780b05f08437a127dda66937df920b447c0b78760d1c6239cbf10c,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000066,针灸甲乙经/论文/针灸甲乙经/201-《甲乙经》析疑五则.pdf,18d3bdf860900f1235ef1b28584473285ac9c21dbda746ffc60cc8c6a705d684,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000068,针灸甲乙经/论文/针灸甲乙经/206-《明堂孔穴针灸治要》书名质疑.pdf,953b0acf75b9267dafae61466343c0c8539fff3078285910bfcdb6e052e359ea,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000069,针灸甲乙经/论文/针灸甲乙经/207-基于脉动(病)发理论探讨小儿视神经萎缩的针灸治疗.pdf,52eea5c08f97f03c1aa47b2f851f75f7256b7715650e44842ab49553ebcaa63d,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000071,针灸甲乙经/论文/针灸甲乙经/209-正确和完整解读《甲乙经》的学术思想——《甲乙经》析疑五则.pdf,33646759d016418ef5f72787e3807ca9ab7784a89c878cfee0db2f7bd5efda7a,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000072,针灸甲乙经/论文/针灸甲乙经/21-《针灸甲乙经》重言考释.pdf,9670d0fd4510f183fa7791cd440a04b6af1f3ed5f0bf3c10e4e9770323b8bb69,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000073,针灸甲乙经/论文/针灸甲乙经/211-基于针灸教材的针灸理论体系比较.pdf,b68c88b18565a051cead790477d1355b295a70db372a41aeec10a6f571f2edd8,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000074,针灸甲乙经/论文/针灸甲乙经/212-针灸治疗腰痛的溯源寻微.pdf,dfb53bba5b6908e9b5790abe0884b05c68079d4847be1319d99f3541a1a33c6f,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000078,针灸甲乙经/论文/针灸甲乙经/217-《甲乙经》腹部腧穴针刺深浅及其在腹针疗法中的意义.pdf,ec509c60f625c7a9bf85e89c87fe19bc5d1dbb2803a916ceb29fee0c0313838c,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000079,针灸甲乙经/论文/针灸甲乙经/218-影响针灸疗效的因素古今说.pdf,dcc8a7535c0ddb26f3d30feca275c4c3159c5ba51ca448afb7347cecbc48fb5f,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000080,针灸甲乙经/论文/针灸甲乙经/219-《甲乙经》明代传本勘误(续完).pdf,f9db8eaa8dacb2e5056d9f8c174070b4c1b4cbfbef590e9d6870922ca81aa362,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000082,针灸甲乙经/论文/针灸甲乙经/220-《甲乙经》天突、璇玑、华盖位置考证.pdf,d4a7af9b23d74ed65691dca912482d73fd300fad91fc1401057ca19c94721dfb,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000085,针灸甲乙经/论文/针灸甲乙经/224-针灸治疗2型糖尿病研究进展.pdf,8bd94d46496d1b7485f0eea363b005a5cba3b0ecd1f32bf14970045a5e46840b,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000086,针灸甲乙经/论文/针灸甲乙经/225-三才理论在针灸治疗热病中的应用探讨.pdf,e4100039abef7f93a2e5a689a1cd09377005ede0c7c6a95a1d3bd26f5edf7ef2,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000087,针灸甲乙经/论文/针灸甲乙经/226-《针灸资生经》发灸疮要旨浅析.pdf,24df49e008df099dcf2692e3b56ba9a9e6f5a5b9c7d7a2039f874000d3f13426,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000090,针灸甲乙经/论文/针灸甲乙经/23-《针灸甲乙经》论治头痛探析.pdf,f9a947587f0f81e5b5e2efa9a7c2767258a2779e1590b684fddd690ca97dc7b9,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000091,针灸甲乙经/论文/针灸甲乙经/230-近5年脑梗死的针灸治疗研究现状.pdf,c3bc4255215205c91bdf75ad22cc7a024327194f7e6854022b1d6d94bbea50aa,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000092,针灸甲乙经/论文/针灸甲乙经/231-针灸治疗急重症举隅.pdf,5366e19e2f43e88661285dc76dc187bfa993ce910db6e7ed1e4170cb46b29be7,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000093,针灸甲乙经/论文/针灸甲乙经/232-针灸治疗2型糖尿病35例.pdf,1632c6e5b5286afcc4cd6b075489946fb58aea00872c2fceb83815170818c5b0,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000094,针灸甲乙经/论文/针灸甲乙经/233-《针灸大成》肾俞穴临床应用浅析.pdf,739b7486cd22907423129c6baede28246c4b674735be79d8c028fe54f9d235e2,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000095,针灸甲乙经/论文/针灸甲乙经/234-针灸治疗肩周炎临床进展.pdf,f9c3278fe0af4cf6e4e551f94b6c7357acf42a9c94357ed2d3c2542163597181,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000096,针灸甲乙经/论文/针灸甲乙经/235-辞书学与针灸推拿辞书的编纂.pdf,ee14fb5d52da3cd956199f3c513a0d6d2ae3d50fed3229382f181f3d96325366,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000098,针灸甲乙经/论文/针灸甲乙经/237-以中兽医理论为基础发扬光大动物针灸技术.pdf,1fa77a4199142da856a5c744efa1f2ca35a86ab09a9e9593bc11be0710e3862d,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000099,针灸甲乙经/论文/针灸甲乙经/238-《甲乙经》对《难经》的引用.pdf,f63a096142bc7fd5e754ea6ec1ad933fa9bb12cc5151597bbb809f6812921676,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000100,针灸甲乙经/论文/针灸甲乙经/239-耳鼻咽喉科针灸疗法历史源流探讨.pdf,998362f8ea0a6a70c011a42a7d62d2fefad85fb0e48871c9aeb2c4b0f7397411,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000101,针灸甲乙经/论文/针灸甲乙经/24-《针灸甲乙经》委中穴考证.pdf,fbb498904855ac5041a24b206e0bebc1324244eeb850b4751a4be0ff1f104913,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000102,针灸甲乙经/论文/针灸甲乙经/240-针灸治疗糖尿病周围神经病变机制研究进展.pdf,c4072757ab92b79131d4045e6d781581d0727269353bf7bf37e9cc0a51288cd8,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000103,针灸甲乙经/论文/针灸甲乙经/241-《针灸大成》主要学术思想及其影响探索.pdf,2176e84a1179ffd814fa3231b494330a7509cca0ce63b462d66ad3bd31f9c1c5,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000104,针灸甲乙经/论文/针灸甲乙经/242-杨继洲及其《针灸大成》的学术思想浅析.pdf,b6221474fceb0e05aa0b4babcfb1cbd78d300769ed2989858f5ee8e536909798,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000105,针灸甲乙经/论文/针灸甲乙经/243-_百会_穴针灸治疗临床体会.pdf,9873ecc28833ade15e6ace6bd067933881a547a60b57dcdeb793a9d40299b574,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000106,针灸甲乙经/论文/针灸甲乙经/244-《国际针灸学教程》序.pdf,44b9515ef727cd98fc22a1f0b92bcf678d0e55a38cd2cd25470c8a92ac7df594,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000107,针灸甲乙经/论文/针灸甲乙经/245-长安医学针灸学说的创建与传承发展.pdf,72bc6f614c355094ae394b7a72d3059d4b818f1ea6d855e7604b5bee8af027ac,10,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000109,针灸甲乙经/论文/针灸甲乙经/251-《铜人腧穴针灸图经》腧穴归经探析.pdf,f6b8ce08b1961a24ad394b6e5dfa162ae795ae19038a42119bd2fd71e07ffd1b,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000110,针灸甲乙经/论文/针灸甲乙经/252-初谈针灸处方的原则与取穴规律.pdf,68efcab673302af034020a167556986f6a8eb1829430e5c0e2fcb78c54fcb57b,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000111,针灸甲乙经/论文/针灸甲乙经/253-针灸补泻手法初探.pdf,ad8a5c8f15e5575acbc26e12a0856f113f6a96edbae3e17366b526dcaa4c0ee5,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000112,针灸甲乙经/论文/针灸甲乙经/255-浅谈《甲乙经》论治痿证.pdf,3133fdd2acdc627ec9b79ab323f513df39bca081c99b43c4bb8cba921786353c,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000114,针灸甲乙经/论文/针灸甲乙经/263-从现代针灸临床应用探析古代禁针禁灸经穴.pdf,2182441a84013e460d8d5de7dbdcf74756709e7c781d697fcdc56676201b327b,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000115,针灸甲乙经/论文/针灸甲乙经/265-王执中《针灸资生经》学术思想浅析.pdf,266d0d5b4e4b8f15e773a0203d85e44eb401870471a1d948560359455b96c44c,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000116,针灸甲乙经/论文/针灸甲乙经/27-浅谈《针灸甲乙经》的学术价值.pdf,c61bb3d1a46f14119f9d62bec355e6a4fb9e74562e5099b203d4d16983cd4f21,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000117,针灸甲乙经/论文/针灸甲乙经/289-《素问》《灵枢》《太素》《甲乙经》异文例释.pdf,9ca040d25c0da7d573b1a374be2ab69a8fc5cdeaabead74f5ab75122a5b66f70,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000118,针灸甲乙经/论文/针灸甲乙经/29-浅析《针灸甲乙经》之痉证.pdf,09912ef76aa9f8b3c34a74745685c6c803010a0100f36e2d64bf87a31beffd12,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000119,针灸甲乙经/论文/针灸甲乙经/295-针灸“人神禁忌”学说中的“尻神”辨误.pdf,7d2efbdd23c12fd6c190170e4790ba63ad6bdb8986905f89f70fee7eecbfe41f,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000120,针灸甲乙经/论文/针灸甲乙经/296-王执中针灸学术思想探微.pdf,e5c5d891728a2ff9a2120e87fb9aa8b7eb70d69a4498bde9e475a62520b1c299,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000121,针灸甲乙经/论文/针灸甲乙经/297-针灸疗法治疗缺乳症52例疗效观察.pdf,ed1260dd5e99e3d9129fb001f42e612f6764dc42f878fc6f6c00a9167e1e07d6,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000123,针灸甲乙经/论文/针灸甲乙经/30-《针灸甲乙经》研究现状的分析.pdf,336def0adfb9e91f973d12d966f4813eebdbac7ca5b9c05dd4740005a71a368d,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000124,针灸甲乙经/论文/针灸甲乙经/305-针灸治疗视神经萎缩1例报道.pdf,1e5940f113e587b75e2492122cc07aac29650a46f357a092f7cf277bdae741d2,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000125,针灸甲乙经/论文/针灸甲乙经/31-《针灸甲乙经》中痿证的论述.pdf,ba41b4ccb5a089386dd35d3166485cb148efc83d76eb579dd38874eb26c78a82,1,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000126,针灸甲乙经/论文/针灸甲乙经/32-《黄帝三部针灸甲乙经》题名解.pdf,133ab8d22fcfff790fdc0a5232391079e201432497788f9d87b909a16feffe59,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000127,针灸甲乙经/论文/针灸甲乙经/33-浅析《针灸甲乙经》对募穴的贡献.pdf,d3e147fb0349cf08cfffc0e87d8e4dab00468e78e35ef26eb3100dfc7e6ea173,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000129,针灸甲乙经/论文/针灸甲乙经/331-十二经水刍议.pdf,635ef52d392b887763efb9df918d119110b70a20ce214fd755a4e6350c33f167,4,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000131,针灸甲乙经/论文/针灸甲乙经/338-肩井穴治疗乳痈病机初探.pdf,5c46981bf490d7f266a656be79bdfa329292c163afe086a6b1577903c02bb35e,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000132,针灸甲乙经/论文/针灸甲乙经/34-浅论《针灸甲乙经》对腧穴学的贡献.pdf,9c846fa0fba28155f300f7709661d9388d77ed1fc33d825c54dd901d03345001,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000133,针灸甲乙经/论文/针灸甲乙经/35-《针灸甲乙经》胁痛的诊治特点.pdf,c7871ae6cb531e2aa2fb6c667a38602a7f08b300496a6fce95abdbbf29dae08c,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000134,针灸甲乙经/论文/针灸甲乙经/351-攒竹穴探析.pdf,f4be22162dcdfd3b43f3b92f5619895399b6538f8ec4521269448982ccc98190,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000135,针灸甲乙经/论文/针灸甲乙经/352-经筋刺法的理论渊源及发展.pdf,aac2b118e7ae37ef0758c927f3a7903f6d8601ff380d46b1deb5636aa4085805,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000137,针灸甲乙经/论文/针灸甲乙经/354-浅析皇甫谧对郄穴的贡献.pdf,c49ff1e152f69ac61fe8f84d07687d96ec467fcb476f19a35b3c40522b57e9d2,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000138,针灸甲乙经/论文/针灸甲乙经/355-委中穴考证及临床应用.pdf,7c5ca2a9e1d9d1d62ceb92ba9122a48dc4c312134ba71c98e5f66e78b0a8478c,3,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000139,针灸甲乙经/论文/针灸甲乙经/356-中脘穴的临床应用.pdf,0088b03bdd6257591a8c8f20e2b66d163c84fbfb9c27a760e1c77a99ec441cd2,2,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000141,针灸甲乙经/论文/针灸甲乙经/36-《针灸甲乙经》中治疗鼻部病症的穴位分析.pdf,89b0b29b26fbc400dc859b2c5bc08e1f8dc084f708bc431fa743b2a455d5554b,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000142,针灸甲乙经/论文/针灸甲乙经/360-基于数据挖掘技术分析古代文献中水沟穴的临床应用规律.pdf,1ef2e86d862a35766f8321b5b72092008fa3400b7268bce1a85f5787ec64381f,8,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000143,针灸甲乙经/论文/针灸甲乙经/363-皇甫谧对张仲景经方运用浅析.pdf,2cacded816b81c01b77718058362154951232b84f7bc656b163b19824fc1a8be,5,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000144,针灸甲乙经/论文/针灸甲乙经/364-阳经郄穴治疗痛症的古今研究.pdf,7fb63b506ab27b58ef0fc553748762b679415faa9b8c1048a98519ee846f46ab,6,yes (print:yes copy:yes change:no addNot,YES,YES,NO
HFM-A000145,针灸甲乙经/论文/针灸甲乙经/365-阳经五官病候及治疗用穴分析——兼论经脉病候与腧穴主治关系.pdf,1ba72cd9fc0e08bf9f9c7ecbe097f3f7d207c70a1cb68676b1cba1b70cac5a5b,8,yes (print:yes copy:yes change:no addNot,YES,YES,NO
